"","pressure","oxygen"
"290",3.775,8.93
"291",3.834,8.94
"292",3.872,8.94
"293",3.904,8.96
"294",3.948,8.97
"295",3.987,8.97
"296",4.025,8.97
"297",4.058,8.97
"298",4.082,8.97
"299",4.144,8.97
"300",4.239,8.97
"301",4.33,8.96
"302",4.391,8.95
"303",4.441,8.94
"304",4.497,8.95
"305",4.543,8.94
"306",4.578,8.94
"307",4.632,8.95
"308",4.682,8.96
"309",4.731,8.96
"310",4.79,8.96
"311",4.855,8.96
"312",4.914,8.97
"313",4.964,8.97
"314",5.014,8.98
"315",5.075,8.99
"316",5.125,8.98
"317",5.172,8.99
"318",5.211,8.99
"319",5.247,8.98
"320",5.288,8.98
"321",5.344,8.98
"322",5.402,8.98
"323",5.45,8.98
"324",5.486,8.99
"325",5.522,8.99
"326",5.56,8.99
"327",5.596,8.99
"328",5.639,9
"329",5.694,8.99
"330",5.736,8.99
"331",5.786,9
"332",5.861,9
"333",5.953,9
"334",6.019,9
"335",6.047,9
"336",6.066,9
"337",6.11,9
"338",6.165,9
"339",6.215,9
"340",6.27,9
"341",6.356,9
"342",6.434,9.01
"343",6.475,9.02
"344",6.507,9.02
"345",6.545,9.03
"346",6.6,9.04
"347",6.655,9.05
"348",6.695,9.05
"349",6.739,9.04
"350",6.77,9.05
"351",6.812,9.05
"352",6.873,9.06
"353",6.927,9.07
"354",6.956,9.07
"355",6.975,9.06
"356",7.017,9.05
"357",7.059,9.04
"358",7.08,9.04
"359",7.105,9.04
"360",7.145,9.05
"361",7.182,9.06
"362",7.234,9.08
"363",7.314,9.09
"364",7.391,9.1
"365",7.459,9.11
"366",7.516,9.11
"367",7.555,9.1
"368",7.587,9.09
"369",7.641,9.08
"370",7.676,9.08
"371",7.695,9.07
"372",7.725,9.07
"373",7.776,9.06
"374",7.839,9.05
"375",7.894,9.04
"376",7.94,9.04
"377",7.968,9.04
"378",7.993,9.05
"379",8.026,9.05
"380",8.086,9.05
"381",8.157,9.06
"382",8.219,9.06
"383",8.261,9.07
"384",8.315,9.07
"385",8.398,9.07
"386",8.485,9.07
"387",8.559,9.07
"388",8.625,9.05
"389",8.676,9.04
"390",8.72,9.04
"391",8.766,9.04
"392",8.845,9.04
"393",8.932,9.04
"394",9,9.05
"395",9.047,9.05
"396",9.072,9.05
"397",9.101,9.05
"398",9.148,9.05
"399",9.208,9.05
"400",9.261,9.05
"401",9.313,9.05
"402",9.393,9.05
"403",9.478,9.06
"404",9.55,9.07
"405",9.612,9.06
"406",9.67,9.05
"407",9.724,9.04
"408",9.763,9.04
"409",9.806,9.05
"410",9.865,9.06
"411",9.934,9.07
"412",9.999,9.08
"413",10.056,9.11
"414",10.111,9.12
"415",10.168,9.13
"416",10.213,9.14
"417",10.248,9.15
"418",10.271,9.16
"419",10.316,9.16
"420",10.388,9.17
"421",10.494,9.17
"422",10.596,9.17
"423",10.661,9.17
"424",10.713,9.17
"425",10.774,9.16
"426",10.817,9.16
"427",10.833,9.16
"428",10.857,9.16
"429",10.917,9.16
"430",11.016,9.16
"431",11.116,9.16
"432",11.2,9.17
"433",11.276,9.17
"434",11.343,9.18
"435",11.395,9.18
"436",11.436,9.18
"437",11.464,9.17
"438",11.484,9.16
"439",11.519,9.16
"440",11.577,9.16
"441",11.648,9.15
"442",11.722,9.15
"443",11.789,9.16
"444",11.844,9.17
"445",11.887,9.17
"446",11.922,9.17
"447",11.955,9.17
"448",12.001,9.17
"449",12.066,9.17
"450",12.14,9.17
"451",12.211,9.17
"452",12.303,9.18
"453",12.386,9.19
"454",12.445,9.21
"455",12.478,9.23
"456",12.511,9.24
"457",12.544,9.25
"458",12.579,9.26
"459",12.629,9.26
"460",12.69,9.27
"461",12.748,9.27
"462",12.789,9.26
"463",12.82,9.26
"464",12.851,9.25
"465",12.874,9.25
"466",12.899,9.25
"467",12.969,9.26
"468",13.051,9.26
"469",13.111,9.28
"470",13.159,9.28
"471",13.206,9.29
"472",13.28,9.28
"473",13.373,9.28
"474",13.451,9.28
"475",13.513,9.27
"476",13.566,9.27
"477",13.609,9.26
"478",13.653,9.25
"479",13.699,9.25
"480",13.747,9.25
"481",13.795,9.26
"482",13.832,9.27
"483",13.873,9.29
"484",13.932,9.3
"485",13.988,9.32
"486",14.056,9.34
"487",14.133,9.36
"488",14.194,9.39
"489",14.237,9.4
"490",14.278,9.4
"491",14.325,9.39
"492",14.374,9.4
"493",14.424,9.44
"494",14.466,9.47
"495",14.522,9.53
"496",14.589,9.59
"497",14.658,9.66
"498",14.713,9.72
"499",14.759,9.76
"500",14.799,9.79
"501",14.842,9.83
"502",14.887,9.85
"503",14.928,9.88
"504",14.971,9.9
"505",15.019,9.92
"506",15.066,9.93
"507",15.121,9.93
"508",15.176,9.92
"509",15.234,9.91
"510",15.293,9.9
"511",15.348,9.89
"512",15.389,9.89
"513",15.422,9.88
"514",15.463,9.89
"515",15.508,9.89
"516",15.547,9.89
"517",15.594,9.9
"518",15.642,9.9
"519",15.693,9.91
"520",15.747,9.91
"521",15.804,9.92
"522",15.86,9.92
"523",15.902,9.91
"524",15.926,9.9
"525",15.952,9.88
"526",15.987,9.88
"527",16.022,9.89
"528",16.058,9.91
"529",16.102,9.94
"530",16.143,9.97
"531",16.181,9.99
"532",16.222,10.01
"533",16.279,10.01
"534",16.348,10
"535",16.406,9.98
"536",16.449,9.96
"537",16.474,9.94
"538",16.503,9.93
"539",16.543,9.92
"540",16.587,9.92
"541",16.634,9.94
"542",16.683,9.97
"543",16.732,9.99
"544",16.789,10.01
"545",16.86,10.06
"546",16.931,10.12
"547",16.986,10.2
"548",17.027,10.3
"549",17.057,10.4
"550",17.091,10.5
"551",17.129,10.59
"552",17.169,10.65
"553",17.216,10.69
"554",17.256,10.71
"555",17.284,10.71
"556",17.307,10.71
"557",17.359,10.71
"558",17.422,10.7
"559",17.484,10.71
"560",17.538,10.71
"561",17.581,10.7
"562",17.63,10.69
"563",17.68,10.7
"564",17.721,10.73
"565",17.764,10.73
"566",17.812,10.7
"567",17.863,10.68
"568",17.919,10.71
"569",17.966,10.8
"570",18,10.95
"571",18.024,11.13
"572",18.063,11.33
"573",18.118,11.53
"574",18.164,11.71
"575",18.199,11.84
"576",18.253,11.89
"577",18.317,11.9
"578",18.375,11.9
"579",18.415,11.87
"580",18.447,11.82
"581",18.493,11.77
"582",18.552,11.73
"583",18.607,11.69
"584",18.642,11.67
"585",18.661,11.66
"586",18.682,11.65
"587",18.709,11.65
"588",18.751,11.66
"589",18.79,11.68
"590",18.827,11.71
"591",18.863,11.71
"592",18.899,11.72
"593",18.939,11.71
"594",18.987,11.7
"595",19.043,11.7
"596",19.089,11.7
"597",19.133,11.69
"598",19.183,11.68
"599",19.234,11.68
"600",19.29,11.67
"601",19.341,11.69
"602",19.391,11.7
"603",19.421,11.73
"604",19.457,11.74
"605",19.529,11.75
"606",19.608,11.73
"607",19.665,11.69
"608",19.702,11.62
"609",19.732,11.55
"610",19.765,11.47
